Diagnose 1,Diagnose 2,,p-values for RR
D30,D63,"1,16","1,656E-15"
K30,D64,"1,15","1,291E-28"
M05,A41,"1,5","5,843E-131"
M05,J18,"1,48",0
C20,D63,"3,13",0
C20,K59,"2,07",0
G35,A41,"2,82",0
I65,I69,"4,63",0
C50,J90,"3,94",0
I10,L97,"1,14","1,19E-65"
C50,N62,"3,69",0
I25,N19,"1,57",0
E04,E03,"3,94",0
I64,N39,"1,2","1,428E-122"
N40,N35,"3,47",0
F10,E87,"3,31",0
I20,I11,"2,14",0
M62,F33,"1,54","1,05E-44"
J42,I46,"1,87","1,623E-90"
I25,I95,"2,01",0
M16,D62,"1,15","1,675E-13"
H36,E86,"1,27","2,019E-26"
M54,G96,"1,32","2,958E-25"
F10,K92,"3,94",0
G40,A41,"1,25","8,902E-89"
M81,A41,"1,11","1,654E-17"
E11,N30,"1,49",0
I10,L98,"1,08","3,97E-21"
E66,N18,"1,1","4,387E-10"
N81,I10,"1,31",0
K85,K86,"27,91",0
I10,F01,"1,73",0
E10,H43,"6,33",0
G40,J15,"1,88",0
M54,M81,"1,8",0
M06,M81,"2,46",0
I25,I73,"1,81",0
I10,N39,"1,09","5,105E-103"
I64,L89,"1,3","1,173E-45"
K25,J96,"1,12","7,124E-13"
J45,J15,"2,48",0
M35,A41,"1,38","1,701E-77"
C90,A41,"4,78",0
I35,K08,"7,6",0
I20,A09,"1,07","5,935E-15"
M54,E66,"1,13","3,69E-46"
M62,M19,"1,46","2,555E-93"
M62,K57,"1,23","2,026E-24"
J44,M80,"2,31",0
M06,J18,"1,45",0
K80,K65,"2,72",0
C56,K56,"6,73",0
I25,J22,"1,45","4,127E-127"
K30,C25,"1,38","4,805E-20"
K25,A41,"1,28","9,978E-65"
J42,A41,"1,21","1,264E-26"
C34,F41,"3,38",0
I50,N19,"2,17",0
I10,D62,"1,12","5,084E-30"
K51,E86,"2,78",0
J00,H91,"1,29","1,216E-15"
I64,G40,"3,5",0
M05,M81,"2,31",0
D30,N39,"1,21","1,221E-56"
I20,E25,"4,35",0
I20,K55,"1,33","8,169E-50"
E11,G63,"5,46",0
F10,L97,"1,44","7,306E-149"
C34,C78,"4,45",0
J45,M80,"1,74","4,292E-218"
H36,N19,"3,89",0
G40,J18,"1,68",0
N18,K65,"12,57",0
M62,H91,"1,1","6,363E-19"
I35,I46,"2,11","2,294E-268"
G40,J96,"1,46","1,152E-243"
M54,F32,"1,53","9,619E-262"
D30,N30,"1,89",0
C54,C78,"3,1",0
M06,J15,"1,5","9,041E-103"
E66,I46,"1,47","2,366E-43"
M62,G96,"1,4","1,196E-15"
M20,M85,"1,17","5,952E-12"
C91,A41,"8,76",0
E10,D64,"1,68",0
C18,C79,"2,33",0
I10,F05,"1,24","2,928E-55"
C83,A41,"4,8",0
E11,D50,"1,6",0
G45,F01,"2,5","2,654E-227"
M62,M80,"1,38","4,484E-36"
I80,A41,"1,16","2,979E-23"
C18,C78,"9,6",0
E11,K92,"1,23","5,946E-168"
I70,E87,"1,26","6,878E-78"
E11,A49,"1,61",0
D64,D63,"4,06",0
N40,F32,"1,11","1,091E-14"
K61,K60,"26,79",0
F10,F03,"4,1",0
Q21,H65,"2,64",0
M05,J96,"1,15","3,065E-14"
I64,F01,"3,01",0
J44,N39,"1,13","2,899E-167"
J44,J22,"3,84",0
I20,I72,"1,63","2,067E-148"
J44,E87,"1,36",0
I64,F03,"1,22","3,179E-109"
C20,A41,"1,17","4,277E-27"
C50,D70,"4,81",0
M05,N30,"1,17","4,383E-39"
M62,G56,"1,17","9,379E-24"
C56,C78,"6,54",0
I20,D68,"1,18","9,755E-21"
I71,K43,"3,97",0
K29,J18,"1,1","8,776E-32"
C43,C78,"5,01",0
E11,D62,"1,47","7,02E-216"
E10,E13,"12,46",0
I10,I73,"1,31",0
E04,C73,"20,47",0
I21,I95,"1,32","1,58E-52"
M35,M81,"2,71",0
I48,I69,"1,35",0
G35,K59,"2,02",0
M06,M85,"2,82",0
I61,I69,"5,18",0
H36,D64,"1,64","5,732E-179"
I25,E25,"4,76",0
G35,E86,"2,21",0
H36,A41,"1,67","1,725E-133"
K26,E86,"1,24","7,673E-49"
M31,M81,"3,39",0
K57,K43,"3,48",0
E10,L89,"3,87",0
C61,K59,"1,36","2,906E-275"
K29,K72,"2,8","3,095E-225"
I70,L98,"4,2",0
K21,M81,"1,15","1,381E-22"
I35,I08,"17,78",0
C56,C79,"4,28",0
M05,J15,"1,65","6,596E-158"
C67,D64,"1,2","1,025E-83"
I20,I44,"1,87",0
I21,N18,"1,23","4,036E-96"
L02,A41,"1,45","2,775E-126"
I73,I46,"1,47","1,502E-39"
G35,J15,"2,99",0
I20,K04,"1,21","7,009E-43"
C85,A41,"4,17",0
J03,J35,"4,98",0
I48,I49,"4,16",0
K29,K59,"1,74",0
M81,J96,"1,7",0
I10,J81,"1,35","4,933E-189"
E05,F03,"1,15","7,696E-16"
M35,J15,"1,25","2,238E-28"
C50,L59,"8,72",0
I64,J18,"1,05","1,113E-24"
I48,I61,"1,27","2,684E-111"
F10,L89,"1,82","1,776E-224"
M47,K59,"1,23","9,582E-35"
M81,J22,"2,67",0
K80,K91,"2,03","4,449E-243"
K26,A41,"1,21","3,369E-29"
M16,I80,"1,2","7,294E-57"
K29,C25,"1,35","1,659E-16"
I25,K52,"1,15","1,041E-53"
J18,J15,"2,48",0
I63,L89,"1,2","1,498E-13"
I10,G96,"1,26","1,214E-56"
M54,F33,"1,41","5,896E-59"
I25,L98,"1,1","1,977E-20"
M79,M81,"1,08","2,924E-12"
K51,M81,"1,66","1,463E-254"
K10,I08,"34,98",0
M54,N30,"1,14","1,208E-62"
K30,F17,"1,44","1,02E-50"
I20,I24,"4,84",0
G35,L89,"16,72",0
I20,I97,"1,62","1,867E-76"
D50,C18,"3,13",0
M89,C79,2,"7,594E-59"
L02,F17,"1,89","8,268E-189"
N81,N30,"1,12","2,222E-35"
K30,K57,"1,71",9.115808e-319
K29,E87,"1,43","3,717E-75"
G40,N39,"1,69",0
M05,D64,"1,48","9,784E-196"
G40,G41,"29,51",0
C34,C79,"6,23",0
J45,H25,"1,27","7,556E-126"
F10,F33,"6,31",0
C54,K56,"2,88",0
E11,F00,"1,19","7,5E-28"
I25,N17,"1,62",0
D25,N99,"2,38","5,083E-151"
L40,E86,"1,4","5,395E-41"
E11,I95,"1,56","5,011E-286"
E11,F01,"1,72","2,502E-256"
E11,J18,"1,25",0
M51,N31,"1,8","9,464E-195"
M05,M85,"2,34","1,276E-268"
I80,L98,"1,58","2,917E-90"
C91,J18,"2,56",0
J42,C34,"1,24","1,968E-34"
D25,I10,"1,12","9,111E-39"
K44,K59,"1,56","3,461E-199"
I10,I15,"2,78",0
C56,E86,"1,38","2,045E-112"
C50,A49,"1,32","3,312E-50"
A46,J96,"1,23","2,185E-31"
M54,M19,"1,26","1,603E-85"
M81,F03,"1,27","4,213E-86"
E11,E13,"6,13",0
E10,J96,"1,24","6,865E-137"
I70,L97,"6,81",0
C67,K56,"2,27",0
G12,J96,"12,39",0
M62,K21,"1,4","1,94E-90"
M06,N30,"1,21","1,607E-61"
L40,A41,"1,58","1,135E-78"
I80,L97,"1,85","7,207E-213"
E66,J96,"1,9",0
N92,F17,"1,22","1,582E-21"
M17,A46,"1,08","2,106E-10"
Q21,J35,"1,33","1,646E-39"
I10,F00,"1,28","2,626E-100"
J45,J46,"17,18",0
I48,N18,"1,12","1,608E-81"
I25,J90,"1,32","3,052E-122"
C34,D70,"5,48",0
I48,L97,"1,1","1,539E-32"
I20,I26,"1,13","2,692E-33"
E11,C22,"1,59","7,349E-108"
C34,J96,"1,63",0
J45,F32,"1,23","5,249E-39"
E10,I73,"2,51",0
I20,J81,"1,27","1,578E-92"
N63,G95,"1,57","4,106E-19"
F10,A46,"1,96",0
J44,N30,"1,16",0
I25,L97,"1,23","2,646E-141"
K51,K91,"12,26",0
