Diagnose 1,Diagnose 2,,p-values for RR
C44,L90,"6,15",0
G20,J18,"1,42",0
C73,E03,"5,35",0
K35,C18,"1,33","2,736E-15"
C77,C80,"11,81",0
H91,H54,"1,78","2,715E-247"
F10,I85,"4,88",0
D48,C79,"2,66","2,328E-178"
G62,J96,"1,55","1,136E-62"
M53,F17,"1,73","2,073E-51"
M62,G45,"1,2","4,598E-18"
N03,A41,"5,25",0
C78,F41,"2,17","9,816E-240"
J00,G47,"1,49","5,538E-13"
K29,C22,"1,48","8,919E-13"
E10,K52,"1,72",0
D27,K56,"1,29","2,794E-14"
E10,A08,"3,09",0
L98,I46,"1,63","3,079E-23"
M35,N18,"1,27","3,203E-30"
C43,D63,"2,12","1,567E-187"
F10,K76,"2,85",0
J45,I27,"2,45","1,251E-271"
K51,K43,"2,58",0
N92,N80,"3,66",0
C20,K65,"3,64",0
C50,D71,"7,53",0
N31,J96,"1,41","2,344E-22"
Q90,J35,"3,16",0
I10,E55,"1,54","3,342E-213"
E10,M75,"1,09","2,396E-21"
N30,L89,"2,14",0
C91,J96,"1,61","7,476E-150"
L02,L98,"3,79",0
K22,J15,"1,16","1,033E-10"
C53,N39,"1,14","9,344E-12"
Q25,H66,"1,83","6,09E-68"
I35,D64,"1,52",0
D12,K56,"1,73","9,606E-202"
L02,L90,"2,04","2,608E-140"
H81,E87,"1,18","4,27E-10"
I63,F01,"3,5",0
G45,I63,"3,48",0
I20,I99,"2,91",0
K30,F33,"1,47","8,238E-36"
G20,G21,"43,84",0
K30,K55,"1,53","1,954E-20"
M48,F32,"1,4","2,379E-81"
C83,J18,"1,84",0
D50,D63,"2,7",0
M06,I50,"1,18","8,746E-57"
C43,L90,"2,96","8,45E-171"
E11,H35,"1,3","3,28E-276"
E11,F32,"1,39",0
I50,E87,"1,55",0
K29,K55,"2,54","2,108E-122"
G56,M48,"1,26","6,845E-53"
K30,E55,"1,36","1,568E-11"
K29,N18,"1,23","3,489E-34"
K44,F17,"2,01","3,247E-104"
I25,K55,"1,58","4,002E-164"
A46,L98,"4,96",0
I25,D50,"1,33","3,412E-248"
Q25,J18,"2,28","2,12E-237"
E11,H28,"5,61",0
K05,J96,"1,52","6,418E-27"
K70,I46,"1,43","7,073E-27"
E66,J22,"1,51","7,359E-34"
F03,G30,"7,28",0
L97,J96,"1,31","5,436E-39"
C34,D71,"9,95",0
I25,E55,"1,3","1,355E-41"
I70,N17,"1,79","2,415E-231"
K05,I08,"14,25","1,602E-156"
J44,N17,"1,28","1,046E-98"
N40,F33,"1,33","5,938E-28"
I34,A41,"1,14","1,139E-10"
E03,A41,"1,25","3,711E-42"
Q21,J05,"1,41","2,549E-32"
Q25,A09,"1,59","2,809E-41"
G40,J81,"1,33","2,608E-26"
K40,N50,"1,73","4,543E-170"
E10,N30,"1,78",0
C53,K59,"1,45","7,069E-82"
L02,B18,"3,68",0
M31,J15,"1,69","1,129E-85"
K44,F32,"1,47","1,193E-63"
J42,M81,"2,05",0
C85,J18,"1,55","9,119E-281"
I64,C71,"1,78","2,25E-94"
K30,D12,"1,53","1,647E-165"
K30,D50,"1,38","1,665E-45"
D41,C78,"2,15","1,138E-49"
H36,N17,"2,26","8,774E-92"
E11,F17,"1,21","3,478E-48"
N83,E66,"1,27","1,848E-71"
I20,K08,"1,13","5,046E-13"
N83,K43,"1,3","7,101E-17"
I64,F17,"1,16","7,054E-10"
I35,D62,"1,96","1,179E-229"
H36,H43,"24,5",0
E16,A41,"1,77","4,372E-180"
H36,L89,"2,78","5,903E-163"
K92,K72,"7,7",0
E14,N18,"3,04",0
F10,G93,"1,99","3,334E-193"
K86,J96,"1,64","1,45E-123"
C32,C34,"1,86","2,474E-171"
E66,E16,"1,36","1,362E-41"
H36,I73,"1,7","1,637E-129"
K05,A41,"1,87","1,197E-75"
E11,I51,"1,48","9,838E-221"
K70,A41,"3,13",0
K70,J96,"1,6","7,932E-188"
F10,F32,"4,42",0
D63,F41,"2,53","4,504E-111"
N60,C50,"1,59","2,202E-166"
J20,H65,"1,27","1,855E-75"
H33,H26,"9,41",0
K29,K83,"1,66","1,496E-56"
G40,L89,"1,7","2,608E-110"
K20,J18,"1,15","3,88E-26"
K51,M07,"6,08",0
C64,C79,"12,45",0
C50,I82,"1,28","3,524E-20"
E11,I44,"1,61",0
H43,N19,"1,85","2,584E-79"
A63,F17,"1,3","2,464E-10"
F10,C09,"1,53","1,771E-36"
F10,F05,"6,41",0
K92,I46,"1,25","1,943E-13"
I70,D62,"1,3","1,288E-43"
F32,J96,"1,31","4,276E-58"
F10,G31,"6,31",0
J20,M81,"1,49","1,845E-52"
Q89,H65,"2,45","3,645E-59"
G00,H94,"66,29",0
E10,H28,"13,2",0
I48,M10,"1,92",0
D86,M85,"4,47","3,006E-282"
C53,I89,"10,34",0
N92,E66,"1,69",0
M35,M80,"2,69",0
L30,J15,"1,33","8,834E-17"
F10,I95,"1,85","1,264E-236"
K29,E55,"1,73","1,314E-32"
J43,M81,"3,35",0
G35,L97,"2,06","1,917E-126"
C91,J15,"2,36",0
N31,J18,"1,24","7,41E-30"
G20,J69,"4,8",0
I20,I08,"1,48","2,997E-26"
I48,I62,"1,78","3,687E-97"
C50,G55,"3,66",0
C53,N30,"1,65","4,85E-233"
C34,E83,"3,07",0
C32,K04,"6,55",0
C67,N10,"3,03",0
K25,N18,"1,12","1,088E-10"
F10,A04,"1,41","1,904E-45"
E10,L08,"2,62",0
H81,I63,"1,41","1,717E-72"
E10,N17,"2,82",0
J45,I82,"1,26","1,37E-10"
K65,K43,"5,12",0
H36,N30,"1,33","1,528E-66"
E05,I69,"1,11","7,638E-15"
I25,M10,"2,04",0
G62,A41,"1,46","3,43E-53"
L40,J15,"1,29","3,157E-17"
I34,K05,"6,12",0
I21,N19,"1,2","1,833E-52"
M31,M80,"2,87",0
E66,L89,"1,58","6,277E-57"
K25,K72,"3,27","1,269E-265"
B34,E34,"1,46","1,379E-13"
I35,K92,"1,29","2,574E-73"
K85,E10,"2,03",0
I42,A41,"1,17","7,375E-15"
C83,B37,"5,65",0
N40,N13,"1,58","9,425E-276"
I47,I95,"1,87","1,135E-137"
I64,G41,"4,1",0
Q21,K59,"1,21","2,81E-12"
K85,K43,"2,05","3,994E-111"
K30,K83,"1,41","1,308E-27"
N40,G21,"1,43","1,861E-23"
C78,D63,"4,66",0
E11,E55,"1,89","9,275E-254"
K86,J15,"2,03","1,112E-223"
N97,N98,"10,84",0
K50,L98,"2,73",0
M80,E86,"1,44","1,883E-232"
G35,N10,"3,53",0
E88,M85,"2,15","2,253E-36"
Q90,J18,"4,81",0
J41,I46,"1,84","4,103E-20"
K29,A04,"1,66","5,285E-39"
K50,M07,"7,84",0
N60,D05,"6,18",0
N92,N81,"1,18","2,18E-38"
I48,J22,"1,32","2,644E-79"
C61,N99,"2,2",0
C32,C78,"1,23","8,982E-13"
M54,G98,"1,35","7,143E-11"
Q21,H91,"1,53","1,363E-50"
N76,F17,"1,52","3,433E-13"
M35,L98,"1,93","1,536E-146"
N40,I10,"1,03","8,594E-13"
I60,I69,"6,78",0
K25,E87,"1,45","2,04E-90"
K21,F32,"1,32","1,609E-37"
C56,E83,"5,68",0
E11,K55,"1,16","1,088E-12"
C56,A41,"1,13","4,186E-13"
H81,F32,"1,61","1,324E-96"
I48,I51,"2,37",0
M31,N39,"1,18","2,565E-14"
I10,I11,"2,54",0
N31,A41,"2,21","1,691E-179"
D35,E89,"46,93",0
J44,E55,"1,38","4,448E-76"
I50,M10,"2,91",0
E16,E15,"57,23",0
K04,A41,"1,65","1,394E-55"
I63,N39,"1,12","6,804E-32"
J45,M19,"1,15","4,931E-18"
E10,H35,"2,22",0
L40,I46,"1,45","8,421E-13"
N81,K62,"1,21","2,342E-42"
C32,J15,"1,38","1,324E-25"
C64,E86,"1,29","6,318E-27"
K21,M80,"1,23","2,5E-16"
I50,A04,"1,23","3,881E-27"
Q21,J00,"2,74",0
K26,F03,"1,13","1,984E-10"
K21,E66,"1,24","1,891E-48"
N40,N28,"1,63","1,65E-124"
N97,N99,"1,68","1,782E-37"
I34,D68,"4,02","5,881E-251"
K86,E86,"2,81",0
Q90,H65,"5,93",0
K86,H36,"2,34","1,803E-221"
Q21,H50,"1,34","1,161E-13"
M62,K58,"1,5","3,302E-80"
M79,M80,"1,15","1,483E-12"
K21,D64,"1,27","2,341E-63"
M17,M15,"2,53",0
I63,F03,"1,16","2,554E-34"
C91,B02,"16,97",0
E78,I95,"1,61","3,447E-146"
K05,J18,"1,53","2,009E-97"
M32,M85,"8,49",0
I20,G45,"1,18","1,707E-108"
I10,I13,"2,84",0
E11,H43,"1,93",0
K29,F33,2,"6,414E-127"
K62,K56,"1,73","1,631E-240"
E03,E86,"1,4","7,025E-174"
J45,F43,"1,24","5,863E-20"
N87,N84,"1,59","4,741E-65"
I50,K55,"1,33","1,041E-43"
F10,K20,"3,41",0
E11,H25,"1,22",0
K22,J18,"1,18","7,335E-52"
F10,G41,"2,87",0
K29,K65,"1,3","1,412E-16"
C20,C77,"2,31",0
E11,C25,"1,25","1,02E-52"
C62,E29,"17,81",0
N31,J15,"1,32","5,368E-13"
N20,E21,"5,12",0
C91,D63,"4,63",0
M54,E55,"2,13","1,908E-166"
I35,I97,"4,35",1.976263e-323
C53,K62,"2,55",0
D30,N99,"3,13",0
K26,K59,"1,11","4,374E-10"
I70,K52,"1,13","2,137E-16"
C06,K10,"36,89",0
C54,K52,"1,43","2,864E-30"
J42,L97,"1,18","5,32E-10"
C82,J18,"1,93",0
H36,I69,"1,69","3,829E-192"
E10,H45,"16,36",0
I35,J90,"2,35",0
C18,E87,"1,11","2,727E-10"
G35,L98,"1,68","8,968E-70"
I20,H36,"1,12","3,508E-30"
C90,K04,"5,6",0
L03,M19,"1,23","1,83E-10"
C32,K05,"8,21",0
M25,M81,"1,14","3,217E-12"
J42,M85,"1,33","5,609E-10"
H65,F84,"1,54","5,25E-13"
I20,I45,"2,07",0
M05,A49,"2,02","1,547E-110"
F10,K52,"1,42","1,068E-163"
C09,K05,"17,32",0
M62,A09,"1,26","2,813E-36"
K51,L98,"1,26","1,312E-17"
I20,M79,"1,15","2,558E-110"
G62,J15,"1,31","6,537E-19"
C77,F41,"2,24","6,695E-137"
I20,I48,"1,41",0
H81,I69,"1,55","4,317E-180"
C43,L82,"12,26",0
M62,M13,"1,21","3,249E-14"
I25,J94,"1,16","2,429E-18"
M47,F32,"1,44","1,895E-50"
C53,C79,"2,25","8,333E-249"
I34,D64,"1,52","2,55E-193"
M62,K44,"1,27","5,6E-32"
I25,E50,"2,69",0
I50,L98,"1,36","2,116E-158"
Q54,N99,"22,28",0
Q21,J03,"1,7","5,231E-77"
M02,M81,"1,37","4,857E-16"
I69,J22,"1,66","4,234E-102"
F10,F19,"5,61",0
E05,J22,"1,41","9,709E-14"
A46,J15,"1,16","2,298E-14"
C62,N46,"4,15",0
C20,G95,"3,07","3,504E-307"
E66,L97,"2,32",0
K52,A41,"1,39","1,178E-70"
E10,H25,"1,91",0
K05,J15,"1,64","2,403E-31"
Q21,J20,"1,62","2,397E-114"
M31,J18,"1,54","8,02E-260"
D33,A41,"1,28","2,169E-12"
F10,E14,"1,38","6,356E-189"
I70,N19,"1,97",0
I25,I97,"1,88","1,638E-152"
D25,C54,"1,88","2,637E-83"
L30,A41,"1,67","1,741E-74"
I11,E86,"1,21","8,643E-19"
J44,K56,"1,06","5,528E-13"
I50,L97,"1,53",0
C56,E87,"1,35","5,045E-52"
J44,K55,"1,26","3,004E-40"
I50,D64,"1,27",0
G35,A46,"1,47","2,416E-44"
K86,E13,"27,69",0
J44,E64,"1,21","1,285E-26"
I64,F05,"1,19","1,079E-09"
G95,F41,"4,03","6,411E-132"
J20,J22,"2,55","3,482E-46"
G40,J22,"1,66","8,7E-53"
L30,E86,"1,4","2,296E-37"
I50,J22,"1,82","6,026E-277"
K02,E86,"1,81","1,382E-60"
M54,N31,"1,46","3,066E-66"
I50,A49,"1,11","9,866E-14"
N83,N99,"4,85",0
L03,A41,"1,22","1,264E-13"
F10,K21,"1,71",0
G56,M19,"1,79",0
M35,I50,"1,14","3,314E-35"
D41,C79,"2,73","1,173E-78"
E11,E50,"3,16",0
L03,I73,"1,49","1,699E-30"
E05,F32,"1,18","1,033E-18"
M13,M85,"1,5","9,333E-26"
M05,D63,"1,19","2,487E-10"
K20,F03,"1,21","3,745E-10"
K05,E64,"6,11","2,055E-153"
M79,M48,"1,71","1,787E-307"
F32,A41,"1,25","2,198E-44"
E10,I95,"2,09",0
I71,N18,"1,69","1,981E-228"
G40,K92,"1,36","1,859E-128"
Q25,J00,"2,14","7,041E-97"
F10,K29,"2,72",0
C32,K02,"9,42",0
M05,J22,"1,86","2,69E-39"
J42,J22,"4,31","4,251E-283"
Q21,H52,"2,33","1,377E-97"
C09,C10,"88,23",0
C53,D64,"1,91","5,322E-274"
K02,I46,"1,84","2,121E-15"
J43,J22,"5,57","1,701E-234"
Q61,K65,"14,38",0
F10,F99,"5,18",0
K85,E14,"2,09","7,538E-152"
G35,E87,"1,5","8,697E-50"
L02,I73,"1,19","3,481E-13"
J41,J96,"4,04",0
E10,J18,"1,46",0
J98,C78,"1,43","1,762E-33"
I69,J81,"1,65","4,202E-192"
K35,K46,"2,46","3,424E-23"
J44,K92,"1,05","1,764E-11"
C16,E64,"5,4",3.856471e-312
E10,H33,"2,61",0
I64,E55,"1,31","1,352E-17"
K25,K59,"1,26","7,936E-70"
K30,C16,"2,58","3,038E-190"
I10,I27,"1,26","4,564E-78"
Q90,J45,"1,5","1,041E-52"
L40,N30,"1,37","2,726E-61"
K80,C23,"6,83","7,172E-276"
C61,F41,"2,01","8,058E-157"
M81,F05,"1,62","2,174E-55"
I83,D68,"1,24","8,462E-15"
Q90,J00,"4,59",0
M62,I24,"2,38","1,658E-106"
I21,I24,"4,36",0
C62,E89,"11,21",3.263377e-316
K29,K52,"1,9","2,184E-266"
J45,E66,"1,91",0
I65,F01,"2,04","2,172E-21"
K58,F32,"1,5","9,431E-40"
K59,J69,"1,65","1,048E-38"
F10,C06,"1,77","1,649E-99"
I70,K55,"4,03",0
I80,I73,"1,25","8,943E-32"
N97,D25,"2,01",0
L20,M81,"2,19","7,608E-69"
C34,G95,"3,98",0
K30,E78,"1,1","4,079E-16"
E84,E10,"14,57",0
C09,K04,"13,27",0
D24,I97,"1,76","4,657E-11"
N40,D09,"1,22","0,000000001"
H36,L98,"2,88",0
C90,J15,"2,22",0
I10,M80,"1,04","7,948E-10"
J90,C38,"30,15",0
K50,J18,"1,25","1,944E-69"
C45,D63,"5,81",0
G50,E86,"1,42","6,63E-21"
I20,E70,"1,92","2,721E-60"
N35,A41,"1,23","2,164E-13"
E78,E25,"3,43","5,82E-193"
K80,E68,"1,45","3,79E-16"
E05,H06,"53,3",0
I70,I97,"3,29",0
K02,J96,"1,91","6,52E-64"
J84,I46,"1,99","9,46E-58"
E88,J22,"4,05","1,676E-56"
K20,K72,"2,72","2,149E-78"
C20,N31,"1,93","1,854E-87"
J00,J30,"1,68","2,267E-17"
E10,I69,"2,03",0
E10,G56,"1,5",0
D12,K91,"2,04","1,615E-98"
I10,I51,"1,67",0
C50,L58,"7,04","2,483E-229"
K29,E64,"1,73","7,372E-35"
C18,K59,"1,69",0
H81,F01,"1,46","1,838E-13"
M35,F32,"1,57","7,654E-111"
C20,K45,"3,82","1,408E-166"
Q21,E86,"1,75","1,803E-65"
E04,J38,"4,21",0
E16,N18,"3,61",0
C32,K10,"7,5",0
F10,K71,"4,71",0
I64,I61,"4,81",0
M35,N19,"1,18","2,459E-10"
C50,N61,"2,28","3,782E-283"
C61,I89,"5,26",0
M06,D63,"1,28","2,764E-21"
I20,E03,"1,38","7,13E-258"
J45,H26,"1,17","1,071E-18"
N20,N39,"1,77",0
Q25,J05,"1,3","1,087E-09"
K21,E64,"1,51","4,731E-17"
M05,A04,"1,65","7,095E-28"
Q25,J03,"1,58","2,585E-25"
E11,A09,"1,5",0
M35,D64,"1,44","9,363E-175"
E84,J32,"33,83",0
E16,N19,"3,38",0
E10,F01,"1,8","2,567E-131"
F10,K08,"1,24","2,893E-22"
I12,K65,"13,41",0
I10,F06,"1,31","2,163E-37"
E05,F01,"1,53","1,076E-25"
C83,D61,"19,25",0
K26,E87,"1,47","1,389E-64"
L40,E87,"1,53","2,824E-36"
K25,C22,"1,53","3,444E-15"
G20,N39,"1,85",0
D86,J96,"3,77",0
N13,D63,"3,25",0
E11,N28,"1,37","3,308E-68"
M17,I80,"1,31","1,873E-152"
I70,E64,"1,26","1,4E-13"
C77,G95,"3,39",8.902380e-315
F10,K22,"2,25",0
C61,M90,"7,77",0
C61,C77,"1,38","4,166E-71"
I73,L89,"1,9","4,016E-110"
A09,F03,"1,21","2,723E-21"
I25,F41,"1,15","1,141E-18"
M32,A41,"4,15",0
K85,E11,"1,66","3,314E-267"
I15,I46,"2,14","1,22E-53"
I48,K55,"1,19","1,522E-22"
I71,J96,"1,19","1,774E-23"
M06,A49,"2,11","1,122E-134"
N40,G20,"1,2","3,171E-37"
E10,M86,"4,77",0
I34,I08,"19,85",0
I65,F32,"1,41","4,397E-18"
J43,J15,"4,03",0
E14,J15,"1,25","4,236E-27"
K25,J18,"1,08","1,223E-24"
K86,J18,"1,68",0
H81,G96,"3,24","4,039E-150"
C15,E64,"5,59",0
C90,B02,"12,77",0
E11,E25,"3,24",0
E10,J81,"2,72",0
G20,N30,"1,72",0
I25,F33,"1,2","2,984E-37"
E88,J96,"6,76",0
N39,J69,"1,7","4,731E-46"
M51,M80,"1,34","7,442E-56"
N40,G23,"1,45","3,208E-10"
G71,G82,"28,55",0
C53,N82,"21,33",0
F10,E55,"2,86",4.940656e-324
I73,L98,"2,65",0
F10,E13,"2,26","1,138E-271"
I71,I46,"1,76","1,759E-77"
G45,G30,"1,47","5,418E-21"
I70,D68,"1,52","9,155E-54"
K44,M80,"1,43","3,961E-48"
C62,C77,"17,39",0
N80,N99,"12,02",0
Q90,J05,"3,57","2,58E-255"
E66,E65,"4,31",0
N13,E86,"1,29","3,81E-63"
I35,K01,"8,29",0
D48,C77,"3,49","4,9E-189"
G80,M41,"6,53",0
I35,A49,"1,24","1,655E-17"
M16,M48,"1,57",0
E14,J96,"1,34","1,452E-60"
N40,N49,"1,73","2,36E-64"
D51,A41,"1,36","1,404E-19"
K85,C25,"3,99","4,422E-239"
I69,J15,"1,42","4,01E-288"
F32,F33,"8,2",0
C50,I31,"2,65","5,148E-213"
J42,E87,"1,56","1,496E-83"
J20,J96,"2,41",0
F10,C32,"1,24","2,951E-17"
C83,J15,"1,56","3,404E-100"
I50,E16,"1,43","5,785E-181"
K51,M25,"1,57","3,582E-100"
I64,G96,"2,52","2,427E-248"
C49,D63,"8,33",0
M31,I46,"1,87","7,642E-38"
E10,D50,"1,62","1,108E-300"
M06,I70,"1,18","4,106E-30"
I20,K30,"1,62",0
Q21,H90,"1,86","9,056E-60"
I88,C83,"10,3","1,617E-267"
F10,B18,"2,58",0
I25,K62,"1,05","2,963E-11"
C67,N13,"7,38",0
Q21,K02,"2,86","3,866E-135"
I50,E25,"2,77","3,261E-204"
M16,M19,"1,5",0
L68,E66,"2,13","3,676E-229"
K21,K57,"1,63","7,641E-185"
A09,K59,"1,6",0
C20,F41,"2,08","4,309E-106"
N92,D07,"2,16","1,31E-105"
J44,E47,"2,06","8,162E-95"
G20,J81,"1,36","1,28E-21"
J45,J81,"1,2","5,457E-10"
A46,L89,"2,94",0
E05,H05,"28,92",0
I25,F32,"1,26","7,846E-208"
K70,E87,"3,44",0
I34,J15,"1,16","5,154E-11"
K29,M80,"1,3","3,163E-36"
N83,F17,"1,48","7,739E-32"
D33,H02,"4,06","6,285E-197"
E84,E13,"98,6",0
F10,F01,"2,71","2,594E-219"
N30,J15,"1,27","1,536E-140"
C64,C77,"7,59",0
I25,M80,"1,09","1,325E-23"
E11,L08,"1,85",0
C44,C77,"3,23",0
Q90,J20,"2,44","4,967E-161"
I48,D50,"1,08","6,026E-18"
G20,G22,"44,52",0
Q89,B34,"1,5","4,594E-12"
M81,L97,"1,12","3,187E-11"
M06,I21,"1,15","3,246E-20"
C69,C43,"23,23",0
G45,G96,"2,34","1,54E-112"
C62,D63,"5,25",0
M62,N20,"1,14","2,61E-11"
M54,G56,"1,07","4,075E-11"
N83,K56,"1,25","1,631E-12"
C56,N13,"4,66",0
K90,M81,"3,01","1,333E-265"
J18,J47,"6,08",0
F10,E47,"1,79","5,287E-25"
K26,K72,"3,11","6,275E-180"
C15,C78,"3,07",0
C64,C78,"8,42",0
M62,K27,"1,41","7,608E-24"
K70,K42,"5,51",0
J46,M81,"2,36","8,191E-61"
D45,A41,"1,33","1,218E-12"
Q25,E86,"1,6","2,219E-19"
I65,I73,"2,57","1,454E-278"
K86,E14,"6,07",0
K35,K65,"4,15",0
F10,I98,"5,15",0
D48,I97,"3,65","2,56E-40"
G45,I95,"1,45","2,564E-42"
D34,E89,"15,33","5,575E-179"
J38,J96,"1,24","2,602E-13"
E14,D64,"1,53","6,084E-216"
M23,M00,"1,96","9,172E-118"
B34,J15,"1,22","6,014E-11"
F10,C02,"1,87","3,212E-66"
J43,M85,"3,21","1,565E-154"
M62,M16,"1,22","4,742E-36"
H65,G96,"1,44","5,722E-11"
K26,C16,"1,59","2,256E-26"
K70,I98,"36,32",0
J40,J96,"3,32","2,09E-153"
D45,J15,"1,53","3,561E-21"
Q05,N30,"10,64",0
E11,M86,"2,69",0
K20,K59,"1,49","1,888E-80"
M31,N30,"1,24","1,286E-34"
E10,J22,"1,51","3,719E-64"
I20,K27,"1,12","9,17E-16"
E10,A04,"2,14",3.850422e-318
I25,A08,"1,34","1,318E-81"
I50,N17,"2,5",0
K29,F32,"1,66","1,284E-188"
Q61,A41,"5,03",0
K25,K56,"1,23","6,278E-24"
C20,K61,"5,49",0
D64,K55,"3,29",0
C67,D09,"17,1",0
I50,K92,"1,08","6,565E-24"
C53,C77,"4,7",0
I25,I08,"2,14","6,53E-142"
M62,I26,"1,36","2,264E-29"
I25,A09,"1,21","5,863E-122"
J12,H65,"1,27","9,228E-19"
D50,N17,"1,8","7,69E-50"
I42,N18,"2,07",1.581368e-316
N95,D07,"7,97",0
F10,K70,"6,87",0
Q61,N18,"20,31",0
C34,G47,"1,18","5,743E-22"
K29,N19,"1,17","1,035E-13"
I70,E47,"2,43","1,129E-45"
G62,F03,"1,57","6,944E-46"
H36,H45,"52,6",0
K04,D64,"1,3","3,274E-19"
G40,M41,"2,25",0
I35,N18,"1,58",7.451511e-316
J44,J41,"5,56",0
I70,A04,"1,32","6,259E-24"
F10,I80,"1,32","1,115E-157"
N30,J22,"1,52","7,554E-74"
Q21,A08,"1,76","3,451E-59"
Q05,N39,"18,11",0
K80,K42,"1,77","9,473E-188"
M54,M75,"1,23","1,591E-141"
M06,J22,"1,76","3,896E-33"
K25,E64,"1,72","1,727E-33"
N95,C53,"2,36","5,085E-120"
F10,K27,"2,87",0
E14,E87,"1,95","5,278E-220"
K92,J96,"1,16","3,601E-20"
M06,K52,"1,27","1,087E-25"
H81,F33,"1,48","1,216E-20"
F10,J86,"2,01","7,357E-197"
K86,I73,"1,77","7,792E-116"
I20,E66,"2,03",0
E10,K90,"4,04",0
M34,M81,"3,73",0
M62,K29,"1,62","2,74E-256"
D33,H53,"6,35",0
I69,E86,"1,62",0
K73,M81,"3,1","6,336E-200"
C90,D63,"3,97",0
N19,N25,"23,41",0
K30,K76,"1,4","2,11E-32"
D75,A41,"1,43","6,529E-19"
E05,F05,"1,57","1,449E-22"
D45,J18,"1,14","5,924E-10"
I48,J91,"1,19","1,276E-27"
C85,D63,"2,92",3.393190e-310
L05,L98,"2,74","9,305E-170"
K44,K55,"1,66","5,249E-19"
I25,A46,"1,13","2,024E-48"
E11,H45,"4,68",0
E11,I97,"1,37","1,912E-29"
H28,H26,"8,5",0
M10,E87,"1,58","1,684E-62"
M51,E55,"1,74","1,232E-61"
F11,I46,"3,99","4,61E-53"
D37,K43,"1,82","3,44E-23"
I69,J69,"3,75",0
K35,K63,"1,36","1,515E-10"
K29,I69,"1,15","3,811E-27"
E05,H02,"1,52","6,987E-60"
C77,K10,"4,62",0
K21,F33,"1,5","3,462E-30"
J45,K57,"1,16","2,08E-23"
C83,B02,"11,12",0
N03,L98,"4,74","2,203E-271"
N19,K65,"11,28",0
C53,E83,"5,87",0
C92,A41,"8,78",0
I20,G90,"1,3","2,559E-18"
E11,K65,"1,33","2,514E-92"
N80,K62,"1,53","1,595E-37"
C15,K59,"1,15","1,579E-11"
I15,E86,"1,47","3,559E-59"
I82,D68,"13,47",0
I20,I13,"1,66","2,842E-63"
J18,A04,"1,36","3,996E-71"
F10,M84,"1,82","2,33E-140"
M35,J22,"1,81","5,548E-35"
C90,K05,"5,8",0
G56,M13,"1,49","4,714E-108"
I48,F32,"1,07","7,966E-23"
K51,K65,"3,26",0
Q05,K59,"5,72",0
F10,F31,"4,5",0
I70,I69,"1,53",0
H33,H44,"42,14",0
C81,J18,"2,79",0
C18,F41,"1,71","2,257E-82"
J18,A49,"1,28","5,171E-78"
E10,M65,"1,71",0
M62,I25,"1,55",0
Q25,H91,"1,84","3,313E-41"
C85,B02,"7,46",0
J36,J35,"5,37",0
E11,D68,"1,17","1,63E-17"
M54,F45,"2,2","1,335E-138"
D12,K43,"1,49","7,192E-89"
A46,K72,"2,3","6,798E-103"
L40,J22,"2,18","5,571E-31"
E03,J15,"1,22","5,619E-26"
C06,E86,"1,86","1,192E-78"
I10,E50,"1,3","2,392E-19"
M10,L89,"1,39","1,744E-13"
H36,G96,"1,48","8,527E-12"
K29,I95,"1,3","2,273E-16"
I73,N17,"1,48","4,209E-41"
N31,J69,"2,72","8,398E-24"
C85,J15,"1,42","3,236E-35"
N87,N93,"2,2","2,779E-186"
H53,I69,"2,54",0
E10,H54,"3,23",0
C32,K08,"6,58",0
K05,I31,"5,14","6,489E-66"
I35,E35,"16,57",0
D37,D63,"2,25","3,264E-50"
D41,D63,"2,18","2,86E-33"
E10,E64,"1,76","6,177E-115"
F10,K25,"2,61",0
I88,C82,"20,09",0
Q25,H52,"1,76","5,768E-15"
K22,K59,"1,16","3,769E-15"
Q90,J03,"3,12","6,556E-179"
K21,C16,"1,72","2,436E-40"
C06,C34,"1,32","1,156E-13"
C54,C77,"2,54","1,181E-187"
F10,C14,"1,66","5,014E-17"
C16,K59,"1,69","4,481E-169"
K86,K72,"3,96",0
Q17,L91,"5,53","7,823E-117"
J84,M81,"3,25",0
K44,F33,"1,49","7,265E-23"
C15,C79,"1,67","1,127E-88"
D47,A41,"2,55","2,472E-262"
J00,F79,"1,95","7,458E-31"
K29,N30,"1,23","4,508E-87"
C91,B37,"6,3",0
C56,K91,"3,11",0
E78,G96,"1,64","2,205E-91"
F10,M95,"1,61","7,043E-101"
N43,N49,7,0
E84,J96,"26,53",0
E01,E89,"21,77","3,213E-184"
F10,E83,"1,51","4,911E-69"
E14,N19,"3,05",0
I20,H82,"1,54","3,282E-19"
F10,C04,"2,13","1,559E-81"
D30,N35,"3,65",0
C06,K07,"18,91",0
I10,N08,"1,76","2,622E-87"
I99,J22,"3,76","4,707E-58"
E05,M80,"1,25","2,819E-34"
C25,F41,"2,81","2,039E-149"
N63,L59,"3,71","1,665E-40"
G45,I51,"1,38","2,311E-28"
K62,K91,"2,29","1,686E-161"
C91,A49,"3,83",0
M79,E55,"1,72","3,708E-58"
C20,J91,"1,3","5,147E-11"
Q89,H66,"1,56","5,896E-11"
E10,J69,"1,58","1,309E-55"
E10,E90,"16,66",0
K58,F33,"1,49","6,495E-15"
M89,M81,"2,07","5,65E-210"
I12,I46,"2,97","7,488E-72"
I50,E55,"1,39","2,437E-55"
